ActualText	ActualWords	FileName	PredWords	PredictedText	actual_word	deletions	hits	insertions	mer	miss_pred_word	substitutions	wer	wil	wip
তাদের যেকোনো একজনকে	['তাদের', 'যেকোনো', 'একজনকে']	038b46ab1f	['তাদের', 'যেকোনো', 'একজনকে']	তাদের যেকোনো একজনকে	[]	0.0	3.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
ফেসবুকে বন্ধুত্ব	['ফেসবুকে', 'বন্ধুত্ব']	038ba7900c	['ফেসবুকে', 'বন্ধুত্ব']	ফেসবুকে বন্ধুত্ব	[]	0.0	2.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
পরে জিডি করেছি	['পরে', 'জিডি', 'করেছি']	038bad1c32	['পড়েন', 'জিডি', 'করেছি']	পড়েন জিডি করেছি	['পরে']	0.0	2.0	0.0	0.33	['পড়েন']	1.0	0.33	0.56	0.44
মেলা চলবে	['মেলা', 'চলবে']	038bc41681	['মেলা', 'চলবে']	মেলা চলবে	[]	0.0	2.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
স্থূল কথা তোমাকে বলিয়া যাইব	['স্থূল', 'কথা', 'তোমাকে', 'বলিয়া', 'যাইব']	038bc5bf8c	['চুল', 'কথা', 'তোমাকে', 'বলি', 'আজাইব']	চুল কথা তোমাকে বলি আজাইব	['স্থূল', 'বলিয়া', 'যাইব']	0.0	2.0	0.0	0.6	['বলি', 'আজাইব', 'চুল']	3.0	0.6	0.84	0.16
এমন ধারণাই করা হচ্ছে	['এমন', 'ধারণাই', 'করা', 'হচ্ছে']	038be384de	['এমন', 'ধারণা', 'করা', 'হচ্ছে']	এমন ধারণা করা হচ্ছে	['ধারণাই']	0.0	3.0	0.0	0.25	['ধারণা']	1.0	0.25	0.44	0.56
যা মনে করেছিলেন	['যা', 'মনে', 'করেছিলেন']	038bf1be3f	['যা', 'মনে', 'করেছিলেন']	যা মনে করেছিলেন	[]	0.0	3.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
এবং শব্দার্থ, বাক্যার্থ	['এবং', 'শব্দার্থ', 'বাক্যার্থ']	038d221eb1	['এবং', 'শব্দার্থ', 'বাক্যার্থ']	এবং শব্দার্থ বাক্যার্থ	[]	0.0	3.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
এরপর শুরু	['এরপর', 'শুরু']	038d2d8639	['এরপর', 'শুরু']	এরপর শুরু	[]	0.0	2.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
আমাদের উন্নতির আদর্শ	['আমাদের', 'উন্নতির', 'আদর্শ']	038d55416e	['আমাদের', 'উন্নতির', 'আদর্শ']	আমাদের উন্নতির আদর্শ	[]	0.0	3.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
একটার পর একটা	['একটার', 'পর', 'একটা']	038da1ccab	['একটার', 'পর', 'একটা']	একটার পর একটা	[]	0.0	3.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
আমার মতে	['আমার', 'মতে']	038da60444	['আমার', 'মতে']	আমার মতে	[]	0.0	2.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
সেই নদীর স্রোতে ভেসে	['সেই', 'নদীর', 'স্রোতে', 'ভেসে']	038e032993	['সেই', 'নদীর', 'স্রোতে', 'ভেসে']	সেই নদীর স্রোতে ভেসে	[]	0.0	4.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
নিজেকে নির্দোষ দাবী করেছেন	['নিজেকে', 'নির্দোষ', 'দাবী', 'করেছেন']	038e12fb36	['নিজেকে', 'নির্দোষ', 'দাবি', 'করেছেন']	নিজেকে নির্দোষ দাবি করেছেন	['দাবী']	0.0	3.0	0.0	0.25	['দাবি']	1.0	0.25	0.44	0.56
থেকে গেল বাড়িতে	['থেকে', 'গেল', 'বাড়িতে']	038e1e9423	['থেকে', 'গেল', 'বাড়িতে']	থেকে গেল বাড়িতে	[]	0.0	3.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
আমাকে বসতে বলা হলো	['আমাকে', 'বসতে', 'বলা', 'হলো']	0390f72719	['আমাকে', 'বসতে', 'বলা', 'হলো']	আমাকে বসতে বলা হলো	[]	0.0	4.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
পয়লা জানুয়ারি সারা দিন ধরে	['পয়লা', 'জানুয়ারি', 'সারা', 'দিন', 'ধরে']	03919e5255	['পয়লা', 'জানুয়ারি', 'সারাদিন', 'ধরে']	পয়লা জানুয়ারি সারাদিন ধরে	['সারা', 'দিন']	1.0	3.0	0.0	0.4	['সারাদিন']	1.0	0.4	0.55	0.45
একটি পরিত্যক্ত, জলাভূমিতে ভরা	['একটি', 'পরিত্যক্ত', 'জলাভূমিতে', 'ভরা']	0391c7d246	['একটি', 'পরিত্যক্ত', 'জলাভূমিতে', 'ভরা']	একটি পরিত্যক্ত জলাভূমিতে ভরা	[]	0.0	4.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
ক্রিকেট ভাষ্যকার	['ক্রিকেট', 'ভাষ্যকার']	0392211fe2	['ক্রিকেট', 'ভাষ্যকার']	ক্রিকেট ভাষ্যকার	[]	0.0	2.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
শক, হুন, মোগল,পাঠান	['শক', 'হুন', 'মোগলপাঠান']	039251e08a	['শক', 'হুন', 'মঙ্গল', 'পাঠান']	শক হুন মঙ্গল পাঠান	['মোগলপাঠান']	0.0	2.0	1.0	0.5	['পাঠান', 'মঙ্গল']	1.0	0.67	0.67	0.33
মতিয়া চৌধুরী জানান	['মতিয়া', 'চৌধুরী', 'জানান']	039289d400	['মতিয়া', 'চৌধুরী', 'জানান']	মতিয়া চৌধুরী জানান	[]	0.0	3.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
রাজনীতির পাশাপাশি মফিজু	['রাজনীতির', 'পাশাপাশি', 'মফিজু']	0392cd4efc	['রাজনীতির', 'পাশাপাশি', 'মফিজুল']	রাজনীতির পাশাপাশি মফিজুল	['মফিজু']	0.0	2.0	0.0	0.33	['মফিজুল']	1.0	0.33	0.56	0.44
শুভেচ্ছা বক্তব্য প্রদান করবেন	['শুভেচ্ছা', 'বক্তব্য', 'প্রদান', 'করবেন']	0393262d54	['শুভেচ্ছা', 'বক্তব্য', 'প্রদান', 'করবেন']	শুভেচ্ছা বক্তব্য প্রদান করবেন	[]	0.0	4.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
শাপলা চত্বর থেকে শুরু করে	['শাপলা', 'চত্বর', 'থেকে', 'শুরু', 'করে']	0393388d5b	['শাপলা', 'চত্বর', 'থেকে', 'শুরু', 'করে']	শাপলা চত্বর থেকে শুরু করে	[]	0.0	5.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
দাগ কেটেছিল	['দাগ', 'কেটেছিল']	03933b991f	['দাগ', 'কেটেছিল']	দাগ কেটেছিল	[]	0.0	2.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
পুরো সময়টা তিনি ছদ্মবেশে	['পুরো', 'সময়টা', 'তিনি', 'ছদ্মবেশে']	0394f3aa2a	['পুরো', 'সময়টা', 'তিনি', 'ছদ্মবেশে']	পুরো সময়টা তিনি ছদ্মবেশে	[]	0.0	4.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
জীবনে কখনো দেখেনি	['জীবনে', 'কখনো', 'দেখেনি']	03950819b9	['জীবনে', 'কখনো', 'দেখেনি']	জীবনে কখনো দেখেনি	[]	0.0	3.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
যা ছিলো খেলাধুলার ইতিহাসে	['যা', 'ছিলো', 'খেলাধুলার', 'ইতিহাসে']	03956bc04b	['যা', 'ছিল', 'খেলাধুলার', 'ইতিহাসে']	যা ছিল খেলাধুলার ইতিহাসে	['ছিলো']	0.0	3.0	0.0	0.25	['ছিল']	1.0	0.25	0.44	0.56
আমার কাছে	['আমার', 'কাছে']	0395d9acd9	['আমার', 'কাছে']	আমার কাছে	[]	0.0	2.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
সামগ্রিক প্রস্তুতি	['সামগ্রিক', 'প্রস্তুতি']	0395dac595	['সামগ্রিক', 'প্রস্তুতি']	সামগ্রিক প্রস্তুতি	[]	0.0	2.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
সেটা কোন আইনে হতে পারে	['সেটা', 'কোন', 'আইনে', 'হতে', 'পারে']	0395e99169	['সেটা', 'কোন', 'আইনে', 'হতে', 'পারে']	সেটা কোন আইনে হতে পারে	[]	0.0	5.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
এ সব ঘটনায়	['এ', 'সব', 'ঘটনায়']	03963cd613	['এসব', 'ঘটনায়']	এসব ঘটনায়	['এ', 'সব']	1.0	1.0	0.0	0.67	['এসব']	1.0	0.67	0.83	0.17
বুধবার হোয়াইট হাউজের পক্ষ থেকে	['বুধবার', 'হোয়াইট', 'হাউজের', 'পক্ষ', 'থেকে']	039640b86f	['বুধবার', 'হোয়াইট', 'হাউজের', 'পক্ষ', 'থেকে']	বুধবার হোয়াইট হাউজের পক্ষ থেকে	[]	0.0	5.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
ঐশীর পলাতক	['ঐশীর', 'পলাতক']	0396bbf520	['ঐশীর', 'পলাতক']	ঐশীর পলাতক	[]	0.0	2.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
সুন্দরবনের জন্য বিপর্যয় হবে	['সুন্দরবনের', 'জন্য', 'বিপর্যয়', 'হবে']	039714fc0d	['সুন্দরবনের', 'জন্য', 'বিপর্যয়', 'হবে']	সুন্দরবনের জন্য বিপর্যয় হবে	[]	0.0	4.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
বিচ্ছিন্ন আন্দোলনসহ	['বিচ্ছিন্ন', 'আন্দোলনসহ']	03978dfade	['বিচ্ছিন্ন', 'আন্দোলনসহ']	বিচ্ছিন্ন আন্দোলনসহ	[]	0.0	2.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
তার জন্য রয়েছে	['তার', 'জন্য', 'রয়েছে']	0397a08b3a	['তার', 'জন্য', 'রয়েছে']	তার জন্য রয়েছে	[]	0.0	3.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
প্রধানমন্ত্রীর কার্যালয়	['প্রধানমন্ত্রীর', 'কার্যালয়']	0397e927dd	['প্রধানমন্ত্রীর', 'কার্যালয়']	প্রধানমন্ত্রীর কার্যালয়	[]	0.0	2.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
এবং বিষয়টি অবশ্যই	['এবং', 'বিষয়টি', 'অবশ্যই']	0397f6226c	['এবং', 'বিষয়টি', 'অবশ্যই']	এবং বিষয়টি অবশ্যই	[]	0.0	3.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
শীর্ষ দুটি দল	['শীর্ষ', 'দুটি', 'দল']	03985b3b32	['শীর্ষ', 'দুটি', 'দল']	শীর্ষ দুটি দল	[]	0.0	3.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
নিউইয়র্কে প্রতিষ্ঠিত হয়	['নিউইয়র্কে', 'প্রতিষ্ঠিত', 'হয়']	0398c403e2	['নিউ', 'ইয়র্কে', 'প্রতিষ্ঠিত', 'হয়']	নিউ ইয়র্কে প্রতিষ্ঠিত হয়	['নিউইয়র্কে']	0.0	2.0	1.0	0.5	['নিউ', 'ইয়র্কে']	1.0	0.67	0.67	0.33
ক্যাপ্টেন শব্দের	['ক্যাপ্টেন', 'শব্দের']	039920280b	['ক্যাপ্টেন', 'শব্দের']	ক্যাপ্টেন শব্দের	[]	0.0	2.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
জানান মুহিত	['জানান', 'মুহিত']	039949f00a	['জানান', 'মুহিত']	জানান মুহিত	[]	0.0	2.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
সরকার জাতীয় নির্বাচনের মতো	['সরকার', 'জাতীয়', 'নির্বাচনের', 'মতো']	03997439eb	['সরকার', 'যাতে', 'নির্যাতনের', 'মতো']	সরকার যাতে নির্যাতনের মতো	['জাতীয়', 'নির্বাচনের']	0.0	2.0	0.0	0.5	['নির্যাতনের', 'যাতে']	2.0	0.5	0.75	0.25
সবার জানাজানি হয়ে গেল	['সবার', 'জানাজানি', 'হয়ে', 'গেল']	0399838d3a	['সবার', 'জানাজানি', 'হয়ে', 'গেল']	সবার জানাজানি হয়ে গেল	[]	0.0	4.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
এরশাদের বাসায় ছিলেন	['এরশাদের', 'বাসায়', 'ছিলেন']	0399b41171	['এরশাদের', 'বাসায়', 'ছিলেন']	এরশাদের বাসায় ছিলেন	[]	0.0	3.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
ছুটে পালাল	['ছুটে', 'পালাল']	039a439f23	['ছুটে', 'পালালো']	ছুটে পালালো	['পালাল']	0.0	1.0	0.0	0.5	['পালালো']	1.0	0.5	0.75	0.25
পৌনে ১০টার দিকে	['পৌনে', '১০টার', 'দিকে']	039a572a6d	['পৌনে', 'দশটার', 'দিকে']	পৌনে দশটার দিকে	['১০টার']	0.0	2.0	0.0	0.33	['দশটার']	1.0	0.33	0.56	0.44
শুধু অপেক্ষাই করে যাচ্ছেন	['শুধু', 'অপেক্ষাই', 'করে', 'যাচ্ছেন']	039aadb9a2	['শুধু', 'অপেক্ষা', 'করে', 'যাচ্ছেন']	শুধু অপেক্ষা করে যাচ্ছেন	['অপেক্ষাই']	0.0	3.0	0.0	0.25	['অপেক্ষা']	1.0	0.25	0.44	0.56
আটক তিন যাত্রী	['আটক', 'তিন', 'যাত্রী']	039b30fc1a	['আটক', 'তিন', 'যাত্রী']	আটক তিন যাত্রী	[]	0.0	3.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
এ সূত্রেই এই বইয়ের	['এ', 'সূত্রেই', 'এই', 'বইয়ের']	039b338e70	['এই', 'সূত্রে', 'এই', 'বইয়ের']	এই সূত্রে এই বইয়ের	['এ', 'সূত্রেই']	0.0	2.0	0.0	0.5	['সূত্রে']	2.0	0.5	0.75	0.25
আগামী বছর অস্ট্রেলিয়া	['আগামী', 'বছর', 'অস্ট্রেলিয়া']	039b830371	['আগামী', 'বছর', 'অস্ট্রেলিয়া']	আগামী বছর অস্ট্রেলিয়া	[]	0.0	3.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
খুব অমায়িক ও দয়ালু লোক	['খুব', 'অমায়িক', 'ও', 'দয়ালু', 'লোক']	039bd4875e	['খুব', 'অমায়িক', 'ও', 'দয়ালু', 'লোক']	খুব অমায়িক ও দয়ালু লোক	[]	0.0	5.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
শেষ পর্যন্ত হয়তো	['শেষ', 'পর্যন্ত', 'হয়তো']	039c93d035	['শেষ', 'পর্যন্ত', 'হয়তো']	শেষ পর্যন্ত হয়তো	[]	0.0	3.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
বিভিন্ন গল্পের চরিত্র নিয়ে	['বিভিন্ন', 'গল্পের', 'চরিত্র', 'নিয়ে']	039d3a29d2	['বিভিন্ন', 'গল্পের', 'চরিত্র', 'নিয়ে']	বিভিন্ন গল্পের চরিত্র নিয়ে	[]	0.0	4.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
এ মসজিদটি তৈরি করেছেন	['এ', 'মসজিদটি', 'তৈরি', 'করেছেন']	039d5bcac6	['এ', 'মসজিদটি', 'তৈরি', 'করেছেন']	এ মসজিদটি তৈরি করেছেন	[]	0.0	4.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
নাম পরিচয় চেয়ে	['নাম', 'পরিচয়', 'চেয়ে']	039e3e5aea	['নাম-পরিচয়', 'চেয়ে']	নাম-পরিচয় চেয়ে	['পরিচয়', 'নাম']	1.0	1.0	0.0	0.67	['নাম-পরিচয়']	1.0	0.67	0.83	0.17
হেনা আজকাল দুঃখ করে বলে	['হেনা', 'আজকাল', 'দুঃখ', 'করে', 'বলে']	039f05343f	['হেনা', 'আজকাল', 'দুঃখ', 'করে', 'বলে']	হেনা আজকাল দুঃখ করে বলে	[]	0.0	5.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
শুয়েই থাকি	['শুয়েই', 'থাকি']	039f52b6e9	['শুয়ে', 'থাকে']	শুয়ে থাকে	['শুয়েই', 'থাকি']	0.0	0.0	0.0	1.0	['শুয়ে', 'থাকে']	2.0	1.0	1.0	0.0
প্রয়োগ করা যায় না	['প্রয়োগ', 'করা', 'যায়', 'না']	039f5bc2f2	['প্রয়োগ', 'করা', 'যায়', 'না']	প্রয়োগ করা যায় না	[]	0.0	4.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
থাইল্যান্ডের উত্তর	['থাইল্যান্ডের', 'উত্তর']	039f77c7d8	['থাইল্যান্ডের', 'উত্তর']	থাইল্যান্ডের উত্তর	[]	0.0	2.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
হেলেন অপহৃত	['হেলেন', 'অপহৃত']	03a040c834	['হেলেন', 'অপহৃত']	হেলেন অপহৃত	[]	0.0	2.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
লঞ্চের ভেতরে আটকে পড়ে থাকা যাত্রীদের বেঁচে থাকার সম্ভাবনা কম।	['লঞ্চের', 'ভেতরে', 'আটকে', 'পড়ে', 'থাকা', 'যাত্রীদের', 'বেঁচে', 'থাকার', 'সম্ভাবনা', 'কম']	03a053d115	['লঞ্চের', 'ভেতরে', 'আটকে', 'পড়ে', 'থাকা', 'যাত্রীদের', 'বেঁচে', 'থাকার', 'সম্ভাবনা', 'কম']	লঞ্চের ভেতরে আটকে পড়ে থাকা যাত্রীদের বেঁচে থাকার সম্ভাবনা কম	[]	0.0	10.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
যাত্রীরা প্রায়ই আসে না	['যাত্রীরা', 'প্রায়ই', 'আসে', 'না']	03a05dac77	['যাত্রীরা', 'প্রায়ই', 'আসে', 'না']	যাত্রীরা প্রায়ই আসে না	[]	0.0	4.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
নাশকতা সৃষ্টি করা হতে পারে	['নাশকতা', 'সৃষ্টি', 'করা', 'হতে', 'পারে']	03a067e5bb	['নাশকতা', 'সৃষ্টি', 'করা', 'হতে', 'পারে']	নাশকতা সৃষ্টি করা হতে পারে	[]	0.0	5.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
তৃতীয় সংখ্যার জন্য লিখেছিলেন	['তৃতীয়', 'সংখ্যার', 'জন্য', 'লিখেছিলেন']	03a0e20bf4	['তৃতীয়', 'সংখ্যার', 'জন্য', 'লিখেছিলেন']	তৃতীয় সংখ্যার জন্য লিখেছিলেন	[]	0.0	4.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
ছিল না ঐশী	['ছিল', 'না', 'ঐশী']	03a124e9dc	['ছিল', 'না', 'ঐশী']	ছিল না ঐশী	[]	0.0	3.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
আপিল আবেদনের কারণ	['আপিল', 'আবেদনের', 'কারণ']	03a175f9b1	['আপিল', 'আবেদনের', 'কারণ']	আপিল আবেদনের কারণ	[]	0.0	3.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
শুনতে পাওয়া গেছে	['শুনতে', 'পাওয়া', 'গেছে']	03a203a89a	['শুনতে', 'পাওয়া', 'গেছে']	শুনতে পাওয়া গেছে	[]	0.0	3.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
তাদের বিষয়ে	['তাদের', 'বিষয়ে']	03a21a49b0	['তাদের', 'বিষয়ে']	তাদের বিষয়ে	[]	0.0	2.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
৪ উইকেটে ১৩০ রান	['৪', 'উইকেটে', '১৩০', 'রান']	03a266b456	['4', 'উইকেটে', '130', 'রান']	4 উইকেটে 130 রান	['৪', '১৩০']	0.0	2.0	0.0	0.5	['4', '130']	2.0	0.5	0.75	0.25
সে সময় ছিল লন্ডনের সবচেয়ে	['সে', 'সময়', 'ছিল', 'লন্ডনের', 'সবচেয়ে']	03a2783896	['সে', 'সময়', 'ছিল', 'লন্ডনের', 'সবচেয়ে']	সে সময় ছিল লন্ডনের সবচেয়ে	[]	0.0	5.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
অফিসের বস	['অফিসের', 'বস']	03a28ef914	['অফিসের', 'বস']	অফিসের বস	[]	0.0	2.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
গবেষণা পদ্ধতি নিয়ে	['গবেষণা', 'পদ্ধতি', 'নিয়ে']	03a348cd0e	['গবেষণা', 'পদ্ধতি', 'নিয়ে']	গবেষণা পদ্ধতি নিয়ে	[]	0.0	3.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
তার সবই ভুল ছিল	['তার', 'সবই', 'ভুল', 'ছিল']	03a391d573	['তার', 'সবই', 'ভুল', 'ছিল']	তার সবই ভুল ছিল	[]	0.0	4.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
সমাজে গভীরে প্রবিষ্ট হতে পারেনি	['সমাজে', 'গভীরে', 'প্রবিষ্ট', 'হতে', 'পারেনি']	03a5626d4d	['সমাজে', 'গভীর', 'প্রবিষ্ট', 'হতে', 'পারেনি']	সমাজে গভীর প্রবিষ্ট হতে পারেনি	['গভীরে']	0.0	4.0	0.0	0.2	['গভীর']	1.0	0.2	0.36	0.64
২৩৯ জন যাত্রী নিয়ে	['২৩৯', 'জন', 'যাত্রী', 'নিয়ে']	03a5908f2b	['239', 'জন', 'যাত্রী', 'নিয়ম']	239 জন যাত্রী নিয়ম	['২৩৯', 'নিয়ে']	0.0	2.0	0.0	0.5	['239', 'নিয়ম']	2.0	0.5	0.75	0.25
টাটা	['টাটা']	03a5afab84	['টাটা']	টাটা	[]	0.0	1.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
এটা অনস্বীকার্য যে	['এটা', 'অনস্বীকার্য', 'যে']	03a5c7c19c	['এটা', 'অনস্বীকার্য', 'যে']	এটা অনস্বীকার্য যে	[]	0.0	3.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
কেউ বলেছে খাবো খাবো	['কেউ', 'বলেছে', 'খাবো', 'খাবো']	03a6c3dcc0	['কেউ', 'বলেছে', 'খাবো', 'খাবো']	কেউ বলেছে খাবো খাবো	[]	0.0	4.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
বাংলাদেশ সাধারণ ছাত্র পরিষদ	['বাংলাদেশ', 'সাধারণ', 'ছাত্র', 'পরিষদ']	03a6ceb381	['বাংলাদেশ', 'সাধারণ', 'ছাত্র', 'পরিষদ']	বাংলাদেশ সাধারণ ছাত্র পরিষদ	[]	0.0	4.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
ঘাসে কার্পেট বিছিয়ে	['ঘাসে', 'কার্পেট', 'বিছিয়ে']	03a7314cbf	['ঘাসের', 'কার্পেট', 'বিছিয়ে']	ঘাসের কার্পেট বিছিয়ে	['ঘাসে']	0.0	2.0	0.0	0.33	['ঘাসের']	1.0	0.33	0.56	0.44
বার্সেলোনার ফুটবলপ্রেমীদের ভালোবাসা	['বার্সেলোনার', 'ফুটবলপ্রেমীদের', 'ভালোবাসা']	03a80fd115	['বার্সেলোনার', 'ফুটবল', 'প্রেমীদের', 'ভালোবাসা']	বার্সেলোনার ফুটবল প্রেমীদের ভালোবাসা	['ফুটবলপ্রেমীদের']	0.0	2.0	1.0	0.5	['প্রেমীদের', 'ফুটবল']	1.0	0.67	0.67	0.33
তার দেশ রুশ আগ্রাসনের শিকার	['তার', 'দেশ', 'রুশ', 'আগ্রাসনের', 'শিকার']	03a87dc462	['তার', 'দেশ', 'রুশ', 'আগ্রাসনের', 'শিকার']	তার দেশ রুশ আগ্রাসনের শিকার	[]	0.0	5.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
সমার্থক শব্দ	['সমার্থক', 'শব্দ']	03a8bf9394	['সমার্থক', 'শব্দ']	সমার্থক শব্দ	[]	0.0	2.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
এমন অভিযোগে	['এমন', 'অভিযোগে']	03a97cd99d	['এমন', 'অভিযোগে']	এমন অভিযোগে	[]	0.0	2.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
প্রত্যক্ষদর্শীরা বলেছে	['প্রত্যক্ষদর্শীরা', 'বলেছে']	03aa0ee58d	['প্রত্যক্ষদর্শীরা', 'বলেছে']	প্রত্যক্ষদর্শীরা বলেছে	[]	0.0	2.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
মারাত্মক বিষ	['মারাত্মক', 'বিষ']	03ab2a6c71	['নাটক', '20']	নাটক 20	['বিষ', 'মারাত্মক']	0.0	0.0	0.0	1.0	['20', 'নাটক']	2.0	1.0	1.0	0.0
টুপি লাগিয়ে নেই	['টুপি', 'লাগিয়ে', 'নেই']	03ab44cd2e	['টুপি', 'লাগিয়ে', 'নেই']	টুপি লাগিয়ে নেই	[]	0.0	3.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
ও ভিডিও ফুটেজ দেখে	['ও', 'ভিডিও', 'ফুটেজ', 'দেখে']	03abbaef7c	['ও', 'ভিডিও', 'ফুটেজ', 'দেখে']	ও ভিডিও ফুটেজ দেখে	[]	0.0	4.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
দমন শাখা জানিয়েছে	['দমন', 'শাখা', 'জানিয়েছে']	03ac770145	['দমন', 'শাখা', 'জানিয়েছে']	দমন শাখা জানিয়েছে	[]	0.0	3.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
সদুত্তর সন্ধান করলেই	['সদুত্তর', 'সন্ধান', 'করলেই']	03ad05cfdf	['সদুত্তর', 'সন্ধান', 'করি']	সদুত্তর সন্ধান করি	['করলেই']	0.0	2.0	0.0	0.33	['করি']	1.0	0.33	0.56	0.44
সাপ ঢুকে গেল	['সাপ', 'ঢুকে', 'গেল']	03ad0f5ce8	['সাপ', 'ঢুকে', 'গেল']	সাপ ঢুকে গেল	[]	0.0	3.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
তিনি লোকগান সংগ্রহ করেছেন	['তিনি', 'লোকগান', 'সংগ্রহ', 'করেছেন']	03ad25c35a	['তিনি', 'লোকগান', 'সংগ্রহ', 'করেছেন']	তিনি লোকগান সংগ্রহ করেছেন	[]	0.0	4.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
মালয়েশিয়ার পরিবহন মন্ত্রী	['মালয়েশিয়ার', 'পরিবহন', 'মন্ত্রী']	03ad4c1b01	['মালয়েশিয়ার', 'পরিবহন', 'মন্ত্রী']	মালয়েশিয়ার পরিবহন মন্ত্রী	[]	0.0	3.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
তাদের পোশাক দেখে	['তাদের', 'পোশাক', 'দেখে']	03ad55df76	['তাদের', 'পোশাক', 'দেখে']	তাদের পোশাক দেখে	[]	0.0	3.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
যে বিষয়টি নিয়ে	['যে', 'বিষয়টি', 'নিয়ে']	03ad8e214d	['যে', 'বিষয়টি', 'নিয়ে']	যে বিষয়টি নিয়ে	[]	0.0	3.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
রাষ্ট্রপতি এখন পর্যন্ত	['রাষ্ট্রপতি', 'এখন', 'পর্যন্ত']	03ad9e1e26	['রাষ্ট্রপতি', 'এখন', 'পর্যন্ত']	রাষ্ট্রপতি এখন পর্যন্ত	[]	0.0	3.0	0.0	0.0	[]	0.0	0.0	0.0	1.0
ভাব করেন	['ভাব', 'করেন']	03adb5a45d	['ভাগ', 'করেন']	ভাগ করেন	['ভাব']	0.0	1.0	0.0	0.5	['ভাগ']	1.0	0.5	0.75	0.25
১ উইকেটে	['১', 'উইকেটে']	03adc1404e	['1', 'উইকেটে']	1 উইকেটে	['১']	0.0	1.0	0.0	0.5	['1']	1.0	0.5	0.75	0.25
